dataset,target_size,fold,algorithm,repeat,time,oa,aa,k,selected_features
indian_pines,25,7,bsdr,0,4.265046,0.8516783762685401,0.853753846528142,0.8311818071155561,8-16-24-30-38-47-57-59-66-78-85-92-108-115-120-126-140-149-153-161-162-174-181-190
indian_pines,25,8,linspacer,0,0.0,0.834504293520687,0.8413257732716017,0.8103688848614113,4-12-20-28-36-44-52-60-68-76-84-92-100-107-115-123-131-139-147-155-163-171-179-187-195
indian_pines,25,8,bsnet,0,33.358244,0.7997658079625293,0.7560149224114249,0.7696821582731797,0-4-5-9-22-40-46-48-51-60-67-74-98-102-103-109-112-117-148-149-165-168-177-181-182
indian_pines,25,8,zhang,0,90.627531,0.8169398907103825,0.8086526982934799,0.7903688274693045,0-3-30-31-37-44-46-53-59-64-86-92-99-100-119-124-133-137-141-147-154-163-166-184-190
indian_pines,25,8,bsdr,0,4.220554,0.8477751756440282,0.8661535717883302,0.8257324936745664,10-16-24-27-40-47-57-60-70-78-85-92-99-108-114-120-127-140-148-153-161-162-172-181-190
indian_pines,25,9,linspacer,0,0.0,0.8266978922716628,0.8287592231050516,0.8014446444785864,4-12-20-28-36-44-52-60-68-76-84-92-100-107-115-123-131-139-147-155-163-171-179-187-195
indian_pines,25,9,bsnet,0,36.047459,0.8306010928961749,0.8295910317836306,0.8057848417548232,0-4-5-9-30-35-40-46-48-60-67-68-101-103-112-117-125-148-149-152-161-165-176-181-195
indian_pines,25,9,zhang,0,96.334405,0.8306010928961749,0.8383685523907224,0.8064418757960781,4-5-6-16-18-47-54-58-62-65-72-74-78-85-94-97-117-122-128-129-132-151-175-180-183
indian_pines,25,9,bsdr,0,4.727902,0.8548009367681498,0.8787139948995126,0.8336572697189293,8-15-24-27-38-47-57-59-66-78-85-92-99-109-112-120-129-140-148-153-160-164-173-182-191
indian_pines,30,0,linspacer,0,0.0,0.8239656518345043,0.7651842590168828,0.799495277181951,3-10-17-23-30-36-43-50-56-63-70-76-83-90-96-103-109-116-123-129-136-143-149-156-163-169-176-182-189-196
indian_pines,30,0,bsnet,0,37.129406,0.8192818110850898,0.768317192407982,0.7938840053441844,0-4-5-30-35-43-46-47-48-51-60-66-67-68-72-74-93-101-102-103-112-117-125-138-148-149-152-161-165-181
indian_pines,30,0,zhang,0,117.387196,0.8208430913348946,0.8457050883253775,0.7962606958292243,2-4-6-12-16-52-55-61-62-65-69-74-85-94-95-99-103-114-117-120-122-129-132-134-140-154-179-180-183-185
indian_pines,30,0,bsdr,0,4.730787,0.8590944574551131,0.8736848218394373,0.8394988114455244,7-11-22-27-30-40-47-56-59-66-74-76-85-91-94-99-107-114-125-127-137-140-149-153-161-162-172-179-181-191
indian_pines,30,1,linspacer,0,0.0,0.8149882903981265,0.8011203263379126,0.7894158938468048,3-10-17-23-30-36-43-50-56-63-70-76-83-90-96-103-109-116-123-129-136-143-149-156-163-169-176-182-189-196
indian_pines,30,1,bsnet,0,33.647069,0.8169398907103825,0.8012544521362627,0.7916043962981354,0-4-5-9-30-35-38-46-48-51-60-67-68-71-72-74-101-102-103-112-117-125-133-148-149-165-172-175-183-195
indian_pines,30,1,zhang,0,92.922192,0.804839968774395,0.8054263294261517,0.7778028710783117,4-6-16-22-29-32-47-52-55-56-62-77-99-102-103-115-117-120-121-123-127-129-141-144-147-151-154-155-175-180
indian_pines,30,1,bsdr,0,4.310763,0.8450429352068697,0.8220892367556067,0.823598305692939,8-11-22-27-31-38-48-53-59-66-74-78-80-92-95-99-108-112-127-128-137-139-148-153-162-164-172-181-182-191
indian_pines,30,2,linspacer,0,0.000996,0.8231850117096019,0.7884784969666391,0.7980750610992985,3-10-17-23-30-36-43-50-56-63-70-76-83-90-96-103-109-116-123-129-136-143-149-156-163-169-176-182-189-196
indian_pines,30,2,bsnet,0,33.41788,0.832552693208431,0.8226466027830606,0.8091074877381168,0-4-30-35-40-45-46-47-48-51-60-66-67-68-94-103-109-112-117-125-138-148-149-152-161-163-165-176-181-183
indian_pines,30,2,zhang,0,88.16768,0.8243559718969555,0.8559231484238994,0.799422851389713,4-6-22-33-47-52-54-55-62-65-74-76-78-81-85-99-103-110-117-120-122-123-128-129-134-155-162-180-183-189
indian_pines,30,2,bsdr,0,4.334794,0.8407494145199064,0.8268327929145782,0.8184462952081831,8-14-22-28-31-38-47-53-59-63-74-78-85-92-94-100-107-112-127-128-137-140-149-153-160-162-171-178-182-191
indian_pines,30,3,linspacer,0,0.000998,0.8286494925839188,0.8049121696008057,0.8050527737459323,3-10-17-23-30-36-43-50-56-63-70-76-83-90-96-103-109-116-123-129-136-143-149-156-163-169-176-182-189-196
indian_pines,30,3,bsnet,0,33.170016,0.8204527712724434,0.8009490060480158,0.7955689608695969,0-4-5-9-22-35-46-48-51-60-62-67-68-71-74-101-102-103-112-117-125-140-148-149-152-165-175-176-182-183
indian_pines,30,3,zhang,0,89.993468,0.8430913348946136,0.8645129547014121,0.8211533231990982,4-5-6-16-18-22-33-47-55-61-62-63-65-67-70-72-74-77-85-94-97-99-120-122-129-132-179-180-183-196
indian_pines,30,3,bsdr,0,4.547105,0.8665105386416861,0.8444431970531374,0.8478329580985077,6-11-23-28-30-38-46-53-60-63-74-78-80-92-94-99-107-125-127-130-137-140-148-153-161-162-172-181-182-190
indian_pines,30,4,linspacer,0,0.0,0.8227946916471507,0.805547495486947,0.7978727027671407,3-10-17-23-30-36-43-50-56-63-70-76-83-90-96-103-109-116-123-129-136-143-149-156-163-169-176-182-189-196
indian_pines,30,4,bsnet,0,36.64581,0.8157689305230289,0.8203673307699495,0.7900550893928743,0-4-5-30-35-38-40-43-46-48-51-60-66-67-68-71-81-93-101-103-112-117-148-149-160-165-172-176-183-199
indian_pines,30,4,zhang,0,95.441125,0.8208430913348946,0.8528466821426673,0.7958859836702955,4-6-22-33-47-52-54-55-62-65-74-76-78-81-85-103-108-109-117-120-122-128-129-132-134-155-159-162-180-183
indian_pines,30,4,bsdr,0,4.256882,0.8579234972677595,0.8656773304782751,0.8383994235828836,8-10-19-28-30-40-47-53-59-66-74-78-85-92-94-100-111-112-127-137-140-149-153-161-166-173-179-181-193
indian_pines,30,5,linspacer,0,0.0,0.8309914129586261,0.8308084776911926,0.8077492903759573,3-10-17-23-30-36-43-50-56-63-70-76-83-90-96-103-109-116-123-129-136-143-149-156-163-169-176-182-189-196
